px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.975	-3.34634	-2.73013	-2.10893	0.375021	10.9372	-3.24816	10.95	-3.25	0.999754	2.99928	0.617478
11.0831	-3.23849	-2.73612	-2.14658	0.276037	10.9078	-3.10703	11.05	-3.15	1.81764	1.81765	5.32893
11.1591	-3.10036	-2.74313	-2.12456	0.282168	11.135	-3.05697	11.15	-3.05	1.81763	1.81764	0.136663
11.2062	-2.95156	-2.7379	-2.06435	0.352977	11.1507	-2.87978	11.2	-2.9	0.909657	2.72896	2.26052
11.2724	-2.80304	-2.75009	-2.03729	0.359697	11.2571	-2.74346	11.25	-2.75	0.909648	2.72893	0.211711
11.2135	-2.60968	-2.73699	-1.83933	0.653414	11.2614	-2.58697	11.2	-2.6	-0.998725	2.99617	39.1622
11.2306	-2.47151	-2.73283	-1.79638	0.663191	11.1393	-2.45312	11.15	-2.45	-0.998725	2.99616	0.458912
11.2871	-2.33947	-2.72621	-1.80111	0.594842	11.2346	-2.28949	11.2	-2.3	0.908813	2.72643	2.17108
11.306	-2.18714	-2.72594	-1.75992	0.602775	11.239	-2.16508	11.25	-2.15	0.908805	2.7264	0.265404
11.3535	-2.04961	-2.72041	-1.76484	0.536983	11.1623	-1.9797	11.3	-2	0.909855	2.72956	2.64024
11.3736	-1.89277	-2.72817	-1.72946	0.541812	11.3424	-1.85113	11.35	-1.85	0.909847	2.72953	0.147808
