px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.59405e-318
1.59584	0.321942	2.31271	0	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0.526236
3.86595	-0.130965	2.55206	-0.241136	-0.127286	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.913031
3.93917	0.0745802	2.68149	-0.034458	0.0456615	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.23819
6.8495	0.410878	2.81645	0.627967	0.431647	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.12659
6.76593	0.424603	2.91784	0.440946	0.231155	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.91813
9.07695	0.603311	2.57975	0.0250911	-0.133604	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.556938
9.0484	0.675399	2.65626	0.0676087	-0.101038	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.20969
11.5618	1.65618	2.77056	0.690871	0.364599	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.796509
11.539	1.61214	2.87396	0.577212	0.203921	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.615943
13.6071	2.3316	2.47944	0.315979	-0.0894863	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.662811
13.6247	2.30104	2.59993	0.266239	-0.160655	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.798613
16.6079	2.89913	2.93164	0.038629	-0.202316	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.77123
16.5451	2.88908	2.93971	0.0466877	-0.191025	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.985548
19.0027	3.69747	2.94522	0.460296	0.192894	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.425266
19.0744	3.72111	2.88659	0.510484	0.256556	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.40532
21.3196	4.73116	2.91495	0.396071	0.0171744	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.232344
21.3783	4.74106	2.98989	0.364825	-0.0183464	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.818377
24.0613	5.56679	3.13197	0.178755	-0.126113	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.412377
24.1679	5.60177	3.24935	0.172186	-0.124711	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.00845
26.6039	6.95288	3.24278	0.68069	0.27975	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.395126
26.5918	6.94262	3.33802	0.616621	0.172766	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.128716
29.5593	8.0803	3.42307	0.220561	-0.200523	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.894893
29.5469	8.07723	3.30774	0.21148	-0.218112	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.156445
31.9423	9.86877	3.29373	0.877683	0.354961	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.782256
31.8984	9.84231	3.35188	0.808303	0.24714	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.704709
34.6233	10.7306	2.70784	0.226035	-0.289619	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.85977
34.7208	10.7779	2.98822	0.238664	-0.24495	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.70555
37.1353	12.0781	3.02876	0.643979	0.178542	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.491117
37.2147	12.0965	3.22352	0.571359	0.0452453	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.73192
40.2881	13.4512	3.53638	0.217028	-0.21913	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.64742
40.227	13.4292	3.32787	0.194745	-0.272576	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.16298
42.7649	14.8202	3.29481	0.625469	0.182439	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.511802
42.7412	14.811	3.37095	0.586926	0.120722	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.218491
45.3387	16.5433	3.53497	0.543379	0.01082	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.422642
45.3865	16.5601	3.4496	0.565195	0.0641009	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.816026
48.1493	17.2882	3.37921	0.110008	-0.271859	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.299481
48.1273	17.2761	3.19773	0.0569606	-0.3752	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.371991
50.6246	19.0564	2.95639	0.826984	0.362334	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.52725
50.6019	19.0329	3.12586	0.697087	0.153304	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.481013
53.692	19.8908	3.17183	-0.00791523	-0.415371	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.67775
53.6627	19.8787	3.12936	-0.0161871	-0.437576	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.249347
56.0542	21.0727	2.7109	0.469729	0.161082	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	1.77694
